artist_id,first_name,last_name,group_name
237,null,null,Emerson Drive
238,null,null,En Vogue
239,Melissa,Etheridge,null
240,Shelley,Fabares,null
241,Fergie,null,null
242,null,null,Five For Fighting
243,null,null,The Foundations
244,Brian,McKnight,null
245,Melanie,null,null
246,null,null,Memphis All-Stars
247,George,Michael,null
248,null,null,M2M
249,Shawn,Mullins,null
250,Judy,Garland,null
251,Marvin,Gaye,null
252,Lesley,Gore,null
253,Amy,Grant,null
254,Tamyra,Gray,null
255,Hunter,Hayes,null
256,Wade,Hayes,null
257,null,null,Kentucky Head Hunters
258,Heidi,Newfield,null
259,null,null,98°
260,Jamie,O'Neal,null
261,null,null,OneRepublic
262,null,null,O-Town
263,null,null,Heart
264,Eric,Heatherly,null
265,Jennifer Love,Hewitt,null
266,Taylor,Hicks,null
267,Buddy,Holly,null
268,null,null,Hometown News
269,Julianne,Hough,null
270,Rebecca Lynn,Howard,null
271,Enrique,Iglesias,null
272,Janet,Jackson,null
273,Michael,Jackson,null
274,Wanda,Jackson,null
275,null,null,Peaches & Herb
276,Prince,null,null
277,Rachel,Proctor,null
278,null,null,The Pussy Cat Dolls
279,Corinne Bailey,Rae,null
280,Bonnie,Raitt,null
281,null,null,The Ranch
282,null,null,Rascal Flatts
283,null,null,Aerosmith
284,Clay,Aiken,null
285,null,null,Air Supply
286,Chris,Andrews,null
287,Louis,Armstrong,null
288,Susan,Ashton,null
289,Sherrie,Austin,null
290,Babyface,null,null
291,null,null,BBMAK
292,null,null,The Beach Boys
293,null,null,The Beatles
294,Stephanie,Bentley,null
295,null,null,Bering Strait
296,Crystal,Bernard,null
297,null,null,B*Witched
298,Beyoncé,null,null
299,James,Blunt,null
300,Michael,Bolton,null
301,Mike,Walker,null
302,India,Arie,null
303,Mahalia,Jackson,null
304,Donna,Reeves,null
305,Collin,Raye,null
306,Reality,null,Reality
307,null,null,Reo Speedwagon
308,Julie,Roberts,null
309,Marty,Robbins,null
310,Linda,Ronstadt,null
311,Rivers,Rutherford,null
312,null,null,Savage Garden
313,null,null,S Club 7
314,Neil,Sedaka,null
315,Jason,Sellers,null
316,Shakira,null,null
317,Victoria,Shaw,null
318,null,null,SHeDAISY
319,null,null,Shenandoah
320,null,null,Simon & Garfunkel
321,Jake ,Simpson,null
322,Jessica,Simpson,null
323,Frank,Sinatra,null
324,null,null,Sons of the Desert
325,null,null,Soul Asylum
326,null,null,SouthSixtyFive
327,null,null,Steel Magnolia
328,null,null,The Steve Miller Band
329,Joss,Stone,null
330,Ruben,Studdard,null
331,null,null,Sugarland
332,null,null,Sugar Ray
333,Taylor,Swift,null
334,null,null,Technotronic
335,null,null,The Temptations
336,Rob,Thomas,null
337,Cyndi,Thomson,null
338,null,null,3 of Hearts
339,Pam,Tillis,null
340,null,null,Trick Pony
341,Tanya,Tucker,null
342,Tina,Turner,null
343,Carrie,Underwood,null
344,Keith ,Urban,null
345,Phil,Vassar,null
346,Mario,Vazquez,null
347,null,null,The Warren Brothers
348,Jimmy,Wayne,null
349,Barry ,White,null
350,Vanessa,Williams,null
351,Gretchen,Wilson,null
352,null,null,The Wreckers
353,Chely,Wright,null
354,Elliott,Yamin,null
355,Trisha,Yearwood,null
356,Jason,Derulo,null
357,Pink,null,null
358,Carly Rae,Jepsen,null
359,Jason,Aldean,null
360,Dave,Matthews,null
361,null,null,3 Doors Down
362,John,Anderson,null
363,null,null,Arrested Development
364,null,null,Atlanta Rhythm Section
365,B.B. King,null,null
366,Ludwig Van,Beethoven,null
367,null,null,BELL BIV DeVOE
368,Chuck ,Berry,null
369,null,null,Blind Melon
370,null,null,Counting Crows
371,null,null,Duran Duran
372,Meredith ,Edwards,null
373,Gloria ,Estefan,null
374,Duke,Ellington,null
375,null,null,Foreigner
376,Samantha,Fox,null
377,null,null,Fugees
378,Gabrielle,null,null
379,null,null,Gin Blossoms
380,null,null,The Guess Who
381,Ty,Herndon,null
382,James,Ingram,null
383,Jewel,null,null
384,Billy ,Joel,null
385,"Luther ""Houserocker""",Johnson,null
386,Brad,Martin,null
387,Alanis,Morissette,null
388,Van,Morrison,null
389,null,null,Mr. Big
390,null,null,No Doubt
391,null,null,Painted Faces
392,null,null,P.M DAWN
393,null,null,Six
394,Kevin,Sharp,null
395,null,null,The Rolling Stones
396,null,null,Restless Heart
397,null,null,Red Hot Chili Peppers
398,null,null,Redmon & Vale
399,Ruby,Wilson,null
400,John & Audrey,Wiggins,null
401,Andrew Lloyd,Webber,null
402,Tamra,Walker,null
403,Stevie Ray ,Vaughn,And Double Trouble
404,null,null,U2
405,Bonnie,Tyler,null
406,Randy,Travis,null
407,Lisa,Stansfield,null
408,Mark,Willis,null
409,Michelle,Wright,null
410,null,null,Regina Regina
