FirstName,LastName,GroupName,AlbumTitle,Genre,Format
null,null,Natural Selection featuring Niki Haris,Do Anything,Electronic,Cassette Tape
null,null,Dixie Chicks,Wide Open Spaces,Country,Cassette Tape
Sonya,Isaacs,null,Sonya Isaacs,Country,Cassette Tape
Howlin',Wolf,null,His Greatest Sides Vol. 1,Blues,Cassette Tape
Belinda,Carlisle,null,Heaven On Earth,Rock,Cassette Tape
Mary Chapin,Carpenter,null,Stones In The Road,Country,Cassette Tape
Shaun,Cassidy,null,Greatest Hits,Pop,Cassette Tape
null,null,The Angels,My Boyfriend's Back,Pop,Cassette Tape
null,null,The Bangles,Super Hits,Rock,Cassette Tape
Lynard,Skynard,null,Skynard's Innyrds/Their Greatest Hits,Combination,Cassette Tape
Leann,Rimes,null,Blue,Country,Cassette Tape
Charlie,Pride,null,24 Greatest Hits,Country,Cassette Tape
Elvis,Presley,null,20 Love Songs,Combination,Cassette Tape
Leann,Womack,null,Lee Ann Womack,Country,Cassette Tape
Whitney,Houston,null,Why Does It Hurt So Bad,Combination,Cassette Tape
Whitney,Houston,null,"Exhale (Shoop, Shoop)",Combination,Cassette Tape
Whitney,Houston,null,I Will Always Love You,Combination,Cassette Tape
null,null,Lonestar,This Christmas Time,Christmas,Cassette Tape
"Nat ""King"" ",Cole,null,"Nat ""King"" Cole/Ella Fitzgerald The Magic Of Christmas",Christmas,Cassette Tape
Ella,Fitzgerald,null,"Nat ""King"" Cole/Ella Fitzgerald The Magic Of Christmas",Christmas,Cassette Tape
null,null,Mr. Big,Bump Ahead,Rock,Cassette Tape
Mandy,Moore,null,Mandy Moore,Pop,Cassette Tape
Otis,Redding,null,The Essentials,Rock,Cassette Tape
Tiffany,null,null,Tiffany,Pop,Cassette Tape
Paula,Abdul,null,Spellbound,Pop,Cassette Tape
null,null,New Edition,Home Again,R&B/Soul,Cassette Tape
null,null,null,"The Unplugged Collection, Volume One",Rock,Cassette Tape
null,null,null,Salem Spirit-Concert Series '84,Pop,Cassette Tape
Dino,null,null,Ooh Child,Pop,Cassette Tape
Rufus,Thomas,null,Rufus Thomas,Blues,Cassette Tape
Shania,Twain,null,Shania Twain,Country,Cassette Tape
Mandy,Moore,null,So Real,Pop,Cassette Tape
James,Taylor,null,Greatest Hits,Folk,Cassette Tape
null,null,Salt-N-Pepa,Blacks' Magic,Combination,Cassette Tape
Kippi,Brannon,null,I'd Be With You,Country,Cassette Tape
Lari,White,null,Wishes,Country,Cassette Tape
null,null,Trick Pony,On A Mission,Country,Cassette Tape
Bruce,Springsteen,null,Born In The U.S.A.,Rock,Cassette Tape
null,null,Survivor,Greatest Hits,Rock,Cassette Tape
Diana,Ross,Supremes,Diana Ross & The Supremes A Bit of Liverpool,R&B/Soul,Cassette Tape
null,null,null,Gospel's Top 20 The All-Time Favorites,Gospel,Cassette Tape
Ruth,Brown,null,The Essentials,R&B/Soul,Cassette Tape
Loretta,Lynn,null,"The Lady, The Legend",Country,Cassette Tape
Bryan,Adams,null,Do I Have To Say The Words?,Rock,Cassette Tape
Joshua,Kadison,null,Jessi,Pop,Cassette Tape
Frederic,Chopin,null,Romantic Piano,Classical,Cassette Tape
null,null,Little Texas,What Might Have Been,Country,Cassette Tape
null,null,Bruce & Jerry,In The Beginning…Vol. I,Rock,Cassette Tape
Natalie,Merchant,null,Tigerlily,Alternative Rock,Cassette Tape
null,null,Red Hot Chili Peppers,Under The Bridge,Funk,Cassette Tape
Terri,Clark,null,When Boy Meets Girl,Country,Cassette Tape
Billie,Holiday,null,The Essence of Billie Holiday,Jazz,Cassette Tape
null,null,null,Chipmunks in Low Places,Combination,Cassette Tape
null,null,null,Stone Country Country Artists Perform The Songs Of The Rolling Stones,Combination,Cassette Tape
Tammy,Wynette,null,Without Walls,Country,Cassette Tape
Anita,Cochran,null,Back To You,Country,Cassette Tape
Nikki,French,null,Total Eclipse Of The Heart,Electronic Dance,Cassette Tape
null,null,The B52's,Love Shack,New Wave,Cassette Tape
null,null,Tony Toni Tone,"""If I Had No Loot""",R&B/Soul,Cassette Tape
Patsy,Cline,,Walkin' After Midnight,Country,Cassette Tape
null,null,The Shirelles,28 Big Ones,Combination,Cassette Tape
null,null,Wilson Phillips,Wilson Phillips,Pop,Cassette Tape
null,null,Jacksons,Victory,Pop,Cassette Tape
null,null,Boyz II Men,It's So Hard To Say  Goodbye To Yesterday,R&B/Soul,Cassette Tape
null,null,null,Pocahontas An Original Walt Disney Records Soundtrack,Combination,Cassette Tape
Kylie,Minogue,null,Kylie,Pop,Cassette Tape
null,null,Bon Jovi,Bon Jovi,Rock,Cassette Tape
null,null,Genesis,We Can't Dance,Rock,Cassette Tape
Patsy,Montana,null,Inducted Into The Hall Of Fame 1996,Country,Cassette Tape
Christopher,Cross,null,Back Of My Mind,Soft Rock,Cassette Tape
Eddie,Rabbitt,null,#1's,Country,Cassette Tape
Lee,Greenwood,null,Greatest Hits,Country,Cassette Tape
null,null,NuFlavor,Heaven/Havin' A Party,R&B/Soul,Cassette Tape
Merril,Bainbridge,null,Mouth,Pop,Cassette Tape
Gary,Richard,null,Island Fever,Combination,Cassette Tape
Tracy,Chapman,null,Give Me One Reason,Combination,Cassette Tape
null,null,Inner Circle,Sweat (A La La La La Long),Reggae,Cassette Tape
Jon,Secada,null,If You Go,Latin,Cassette Tape
M.C. Hammer,,null,Please Hammer Don't Hurt 'Em,Combination,Cassette Tape
null,null,America,History/America's Greatest Hits,Soft Rock,Cassette Tape
null,null,Queen,Greatest Hits,Rock,Cassette Tape
null,null,NSYNC,Music Of My Heart,Pop,Cassette Tape
Gloria,Estefan,null,Music Of My Heart,Pop,Cassette Tape
Phil,Collins,null,Serious Hits…Live!,Pop,Cassette Tape
null,null,Indigo Girls,Rites Of Passage,Folk Pop,Cassette Tape
Kenny Wayne,Shepherd,null,Ledbetter Heights,Combination,Cassette Tape
Marc,Anthony,null,Mended,Latin,Cassette Tape
Shawn,Colvin,null,Cover Girl,Rock,Cassette Tape
Patty,Smith,null,Patty Smith,Rock,Cassette Tape
Rod,Stewart,null,Have I Told You Lately,Rock,Cassette Tape
Lisa,Loeb,null,Stay (I Missed You),Combination,Cassette Tape
null,null,null,Footloose (Original Motion Picture Soundtrack),Combination,Cassette Tape
Lionel,Ritchie,null,"""Dancing On The Ceiling""",R&B/Soul,Cassette Tape
null,null,All-4-One,All-4-One,R&B/Soul,Cassette Tape
Darryl,Worley,null,When You Need My Love,Country,Cassette Tape
Sheryl,Crow,null,Tuesday Night Music Club,Rock,Cassette Tape
null,null,The Tony Rich Project,Nobody Knows,Combination,Cassette Tape
null,null,Kyper,"""Tic-Tac-Toe""",Combination,Cassette Tape
Rick,Trevino,null,Looking For The Light,Country,Cassette Tape
null,null,Bon Jovi,Slippery When Wet,Rock,Cassette Tape
null,null,Firehouse,Firehouse,Hard Rock,Cassette Tape
Sammy,Kershaw,null,"Politics, Religion, And Her",Country,Cassette Tape
Rhett,Akins,null,Somebody New,Country,Cassette Tape
Travis,Tritt,null,Greatest Hits-From The Beginning,Country,Cassette Tape
Rick,Trevino,null,Learning As You Go,Country,Cassette Tape
Skip,Ewing,null,Homegrown Love,Country,Cassette Tape
null,null,Diamond Rio,Close To The Edge,Country,Cassette Tape
null,null,"10,000 Maniacs",Because The Night,Alternative Rock,Cassette Tape
Don,McLean,null,Greatest Hits Live!,Rock,Cassette Tape
null,null,The Crystals,He's A Rebel Mini-Set,Pop,Cassette Tape
null,null,Whitesnake,Whitesnake,Hard Rock,Cassette Tape
Roger,Miller,null,Super Hits,Country,Cassette Tape
Ricky,Nelson,null,All-Time Greatest Hits,Rock,Cassette Tape
Skip,Ewing,null,The Coast Of Colorado,Country,Cassette Tape
Doug,Stone,null,Super Hits,Country,Cassette Tape
null,null,Ricochet,Ricochet,Country,Cassette Tape
Tim,McGraw,null,All I Want,Country,Cassette Tape
Conway,Twitty,null,Southern Comfort,Country,Cassette Tape
null,null,Hootie & The Blowfish,Cracked Rear View,Rock,Cassette Tape
Vince,Gill,null,Souvenirs,Country,Cassette Tape
Clay,Walker,null,"Live, Laugh, Love",Country,Cassette Tape
null,null,Montgomery Gentry,Tattoos & Scars,Country,Cassette Tape
Brad,Paisley,null,Mud On The Tires,Country,Cassette Tape
Stevie Ray,Vaughn,and Double Trouble,Live Alive,Blues,Cassette Tape
Carl,Perkins,null,Best Of The Best Carl Perkins,Country,Cassette Tape
Roy,Orbison,null,16 Biggest Hits,Country,Cassette Tape
null,null,The Monkees,Headquarters,Pop,Cassette Tape
Mary,Wells,null,"""My Guy"" Min-Set",R&B/Soul,Cassette Tape
Stevie,Wonder,null,Talking Book,R&B/Soul,Cassette Tape
Stevie,Wonder,null,Greatest Hits Volume 2,R&B/Soul,Cassette Tape
null,null,The Doobie Brothers,Best Of The Doobies-Best of The Doobies Volume II,Combination,Cassette Tape
null,null,Nitty Gritty Dirt Band,More Great Dirt,Country,Cassette Tape
John Michael,Montgomery,null,What I Do The Best,Country,Cassette Tape
Merle,Haggard,null,Super Hits Vol. 3,Country,Cassette Tape
null,null,null,Country Gals,Country,Cassette Tape
Tracy,Chapman,null,New Beginning,Combination,Cassette Tape
Merle,Haggard,null,A Tribute To Merle Haggard & George Jones,Country,Cassette Tape
George,Jones,null,A Tribute To Merle Haggard & George Jones,Country,Cassette Tape
Dolly,Parton,null,Straight Talk Music From The Motion Picture Soundtrack,Country,Cassette Tape
David,Kersh,null,Goodnight Sweetheart,Country,Cassette Tape
Steve,Wariner,null,No More Mr. Nice Guy,Country,Cassette Tape
null,null,Restless Heart,Matters Of The Heart,Country,Cassette Tape
George,Strait,null,Greatest Hits Volume Two,Country,Cassette Tape
